City,CityPts.OBJECTID,CityPts.Shape,CityPts.Id,CityPts.POP2010,AR_DOM_ConsolidatedTaxRates_CI.City_ID,AR_DOM_ConsolidatedTaxRates_CI.Name,AR_DOM_ConsolidatedTaxRates_CI.Rank_08,AR_DOM_ConsolidatedTaxRates_CI.Est_Levy_Rate_08,AR_DOM_ConsolidatedTaxRates_CI.Rank_09,AR_DOM_ConsolidatedTaxRates_CI.Est_Levy_Rate_09,AR_DOM_ConsolidatedTaxRates_CI.Rank_10,AR_DOM_ConsolidatedTaxRates_CI.Est_Levy_Rate_10,AR_DOM_ConsolidatedTaxRates_CI.Rank_11,AR_DOM_ConsolidatedTaxRates_CI.Est_Levy_Rate_11,AR_DOM_ConsolidatedTaxRates_CI.Rank_12,AR_DOM_ConsolidatedTaxRates_CI.Est_Levy_Rate_12,AR_DOM_ConsolidatedTaxRates_CI.Rank_13,AR_DOM_ConsolidatedTaxRates_CI.Est_Levy_Rate_13,AR_DOM_ConsolidatedTaxRates_CI.RankChng08_13,AR_DOM_ConsolidatedTaxRates_CI.OneYrChng12_13,AR_DOM_ConsolidatedTaxRates_CI.TwoYrChng11_13,AR_DOM_ConsolidatedTaxRates_CI.FiveYrChng09_13,AR_DOM_ConsolidatedTaxRates_CI.RankFY14,AR_DOM_ConsolidatedTaxRates_CI.EstLevyRateFY14,AR_DOM_ConsolidatedTaxRates_CI.EstRateFY15,AR_DOM_ConsolidatedTaxRates_CI.RankFY15,AR_DOM_ConsolidatedTaxRates_CI.FiveYrChg11_15
Blairsburg,1,"(42.47851562500006, -93.64282226599994)",1906760,215,672,BLAIRSBURG,550,33.92504,598,33.2052,561,33.73233,421,35.91529,406,35.97445,398,35.34739,152,-0.62706,-0.5679,2.14219,328,35.93194,36.8246,267,0.90931
Ellsworth,2,"(42.31011962900004, -93.58178710899995)",1925050,531,2355,ELLSWORTH,477,34.88023,451,35.33634,433,35.65284,439,35.72296,399,36.07102,447,34.62164,30,-1.44938,-1.10132,-0.7147,388,34.92398,34.68988,407,-1.03308
Kamrar,3,"(42.38970947300004, -93.72802734399994)",1940215,199,3875,KAMRAR,659,32.26275,663,32.23764,683,31.99118,549,34.18888,471,35.01821,531,33.59833,128,-1.41988,-0.59055,1.36069,469,33.72714,34.62613,414,0.43725
Randall,4,"(42.23712158200004, -93.60260009799998)",1965595,173,6320,RANDALL,371,36.20253,381,36.28591,329,37.2452,346,36.9723,345,37.0101,376,35.76233,-5,-1.24777,-1.20997,-0.52358,273,36.83574,36.42713,294,-0.54517
Algona,5,"(43.074279785000044, -94.23010253899997)",1901135,5560,85,ALGONA,566,33.60334,494,34.70642,484,34.74757,546,34.21837,587,33.69783,581,32.92564,-15,-0.77219,-1.29273,-1.78078,619,31.72181,31.28992,652,-2.92845
Bancroft,6,"(43.29290771500007, -94.21752929699994)",1904420,732,380,BANCROFT,578,33.47602,160,39.83044,447,35.41623,721,32.05799,153,40.42651,615,32.50251,-37,-7.924,0.44452,-7.32793,622,31.71257,31.94079,612,-0.1172
Lakota,7,"(43.37872314500004, -94.09631347699997)",1942825,255,4182,LAKOTA,140,40.39136,138,40.39304,93,41.61984,295,37.89834,351,36.90855,575,32.99852,-435,-3.91003,-4.89982,-7.39452,704,30.60252,31.21088,658,-6.68746
Ledyard,8,"(43.42071533200004, -94.15850830099998)",1944130,130,4280,LEDYARD,787,30.4271,547,33.72779,509,34.41866,629,33.13079,292,37.82357,635,32.32636,152,-5.49721,-0.80443,-1.40143,737,30.05519,30.32727,716,-2.80352
Swea City,9,"(43.38330078100006, -94.31091308599997)",1976755,536,7535,SWEA CITY,492,34.78189,237,38.5166,81,42.12825,188,39.77153,220,39.11362,254,37.88942,238,-1.2242,-1.88211,-0.62718,394,34.80012,36.77799,271,-2.99354
Titonka,10,"(43.23687744100005, -94.04138183599997)",1978330,476,7680,TITONKA,53,43.33164,76,41.94361,198,39.34089,235,39.00144,234,38.94212,583,32.92389,-530,-6.01823,-6.07755,-9.01972,415,34.45167,34.11011,447,-4.89133
Wesley,11,"(43.08868408200004, -93.99371337899998)",1983415,390,8242,WESLEY,300,37.49344,268,38.04966,309,37.5777,377,36.47648,540,34.14802,781,29.99985,-481,-4.14817,-6.47663,-8.04981,799,29.02563,29.53083,773,-6.94565
Columbus City,12,"(41.259277344000054, -91.37469482399996)",1915375,391,1487,COLUMBUS CITY,592,33.259,401,36.05009,492,34.62795,403,36.15093,363,36.65527,304,37.01647,288,0.3612,0.86554,0.96638,262,37.06456,36.21364,315,0.06271
Columbus Junction,13,"(41.27868652300003, -91.36511230499997)",1915420,1899,1490,COLUMBUS JUNCTION,361,36.26883,290,37.63895,368,36.59356,292,37.91608,257,38.50792,213,38.63421,148,0.12629,0.71813,0.99526,142,39.58471,38.19269,199,0.27661
Fredonia,14,"(41.284484863000046, -91.33941650399998)",1929055,244,2755,FREDONIA,615,32.77751,561,33.64219,638,32.6289,601,33.49623,562,33.93379,495,34.05916,120,0.12537,0.56293,0.41697,382,35.00216,34.17781,441,0.68158
Morning Sun,15,"(41.09429931600005, -91.25061035199997)",1954120,836,5227,MORNING SUN,573,33.52681,483,34.86478,457,35.16316,395,36.2539,295,37.78833,114,41.13973,459,3.3514,4.88583,6.27495,136,39.85336,39.0309,159,2.777
Oakville,16,"(41.09808349600007, -91.04357910199997)",1958395,173,5642,OAKVILLE,620,32.71357,551,33.7166,626,32.82295,598,33.50835,652,32.79323,569,33.10838,51,0.31515,-0.39997,-0.60822,483,33.60336,33.06547,527,-0.44288
Wapello,17,"(41.17712402300003, -91.18811035199997)",1982200,2067,8107,WAPELLO,408,35.75582,301,37.26201,357,36.70062,319,37.59236,349,36.95043,293,37.2854,115,0.33497,-0.30696,0.02339,257,37.11115,38.52529,182,0.93293
Elberon,18,"(42.00549316400003, -92.31610107399996)",1924375,196,2267,ELBERON,753,30.98527,724,31.25467,778,30.73098,750,31.62743,747,31.49508,689,31.52954,64,0.03446,-0.09789,0.27487,772,29.52706,30.158,730,-1.46943
Clutier,19,"(42.07928466800007, -92.40362548799999)",1914655,213,1430,CLUTIER,864,28.4463,859,28.48719,860,28.65826,872,28.79188,874,28.6162,870,27.93049,-6,-0.68571,-0.86139,-0.5567,820,28.46266,29.94838,751,1.1565
