Function,sup1,sup2,sup3,sup4,sup5,salary,gender,disabled,race,yearsInPosition,yearsInProfession,age,cred1,cred2,highestDegree,inst1,inst2,inst3,inst4,inst5,instBudget,City,State_x,Zip,country,Category,instSize,instType,T01,T09,T10,T11,T12,T13,T14,T15,T16,T19,T20,T21,T22,T23,T24,T25,T27,T28,T29,T40,T41,T50,T51,T53,T99,Place Name,State_y,State Abbreviation,County,Latitude,Longitude,Unnamed: 7
position1,1,1,0,20,1,38000.0,Man,False,Caucasian,6.0,6.0,32.0,False,False,Bachelor's Degree,2,1,0,25,2,277000.0,Albany,GA,31707,United States,one,6396.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Albany,Georgia,GA,Dougherty,31.5789,-84.2118,
position20,0,0,0,5,1,33000.0,Man,False,Caucasian,2.0,2.0,30.0,False,False,Bachelor's Degree,2,1,0,25,2,277000.0,Albany,GA,31707,United States,one,6396.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Albany,Georgia,GA,Dougherty,31.5789,-84.2118,
position1,1,0,0,12,0,45000.0,Man,False,Caucasian,9.0,19.0,43.0,False,False,Master's Degree,2,0,0,12,0,52000.0,Dalton,GA,30720,United States,one,5047.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Dalton,Georgia,GA,Whitfield,34.7635,-84.9875,
position6,0,0,0,10,0,29000.0,Woman,False,Caucasian,4.0,4.0,39.0,False,False,Bachelor's Degree,2,0,0,12,0,52000.0,Dalton,GA,30720,United States,one,5047.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Dalton,Georgia,GA,Whitfield,34.7635,-84.9875,
position1,2,0,5,100,1,62000.0,Woman,False,Caucasian,1.0,11.0,30.0,False,True,Master's Degree,3,0,5,100,1,682200.0,Savannah,GA,31419,United States,one,7439.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Savannah,Georgia,GA,Chatham,31.9959,-81.2358,
position15,0,0,2,35,0,38000.0,Man,False,Caucasian,2.0,2.0,40.0,False,False,Master's Degree,3,0,5,100,1,682200.0,Savannah,GA,31419,United States,one,7439.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Savannah,Georgia,GA,Chatham,31.9959,-81.2358,
position9,0,0,2,35,0,39000.0,Man,False,Caucasian,1.0,7.0,28.0,False,False,Master's Degree,3,0,5,100,1,682200.0,Savannah,GA,31419,United States,one,7439.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Savannah,Georgia,GA,Chatham,31.9959,-81.2358,
position1,22,7,16,350,2,86700.0,Man,False,Caucasian,10.0,19.0,44.0,False,False,Master's Degree,25,5,16,350,4,7600000.0,Statesboro,GA,30460,United States,one,20574.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Statesboro,Georgia,GA,Bulloch,32.418,-81.7823,
position1,8,1,7,175,0,62220.0,Man,False,Caucasian,8.0,14.0,37.0,True,False,Master's Degree,25,5,16,350,4,7600000.0,Statesboro,GA,30460,United States,one,20574.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Statesboro,Georgia,GA,Bulloch,32.418,-81.7823,
position1,4,3,0,120,2,62220.0,Woman,False,Caucasian,7.0,13.0,36.0,False,False,Master's Degree,25,5,16,350,4,7600000.0,Statesboro,GA,30460,United States,one,20574.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Statesboro,Georgia,GA,Bulloch,32.418,-81.7823,
position5,0,0,4,4,0,43549.0,Man,False,Caucasian,4.0,8.0,33.0,False,False,Master's Degree,25,5,16,350,4,7600000.0,Statesboro,GA,30460,United States,one,20574.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Statesboro,Georgia,GA,Bulloch,32.418,-81.7823,
position7,0,0,1,1,0,47940.0,Woman,False,Caucasian,3.0,8.0,34.0,False,False,Master's Degree,25,5,16,350,4,7600000.0,Statesboro,GA,30460,United States,one,20574.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Statesboro,Georgia,GA,Bulloch,32.418,-81.7823,
position11,0,0,1,2,0,44185.0,Man,False,Caucasian,9.0,15.0,51.0,False,False,Master's Degree,25,5,16,350,4,7600000.0,Statesboro,GA,30460,United States,one,20574.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Statesboro,Georgia,GA,Bulloch,32.418,-81.7823,
position9,0,0,1,0,0,39921.0,Woman,False,Caucasian,12.0,15.0,40.0,True,False,Master's Degree,25,5,16,350,4,7600000.0,Statesboro,GA,30460,United States,one,20574.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Statesboro,Georgia,GA,Bulloch,32.418,-81.7823,
position9,0,0,1,122,0,37740.0,Man,False,Caucasian,2.0,8.0,25.0,False,False,Master's Degree,25,5,16,350,4,7600000.0,Statesboro,GA,30460,United States,one,20574.0,Public Institution,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0,Statesboro,Georgia,GA,Bulloch,32.418,-81.7823,
